Country,year,Population,CO2mt,CO2gask,CO2liquidk,CO2solidk,Methane,NO,HRC,PFC,SF6,Total,GlobTemp,Wheat,Corn,Soybean
Guam,1990,130480.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Guatemala,1990,9050115.0,0.434248626,18.335,4235.385,0.0,4980.000019,2370.0,0.1,0.0,0.0,11300.0,0.6891666666666666,67.6,63.94375,152.15625
Guinea,1990,6352282.0,0.157423742,0.0,1004.758,0.0,4789.999962,2620.0,3396.507111756169,685.9366715758468,988.284047267356,8410.0,0.6891666666666666,67.6,63.94375,152.15625
Guinea-Bissau,1990,975265.0,0.174311597,0.0,172.349,0.0,740.0000095,500.0,3396.507111756169,685.9366715758468,988.284047267356,1420.0,0.6891666666666666,67.6,63.94375,152.15625
Guyana,1990,743306.0,1.574048911,0.0,1140.437,0.0,829.9999833,610.0,3396.507111756169,685.9366715758468,988.284047267356,2610.0,0.6891666666666666,67.6,63.94375,152.15625
Haiti,1990,7037915.0,0.144929287,0.0,876.413,33.003,3329.999924,980.0,0.0,0.0,0.0,5330.0,0.6891666666666666,67.6,63.94375,152.15625
Heavily indebted poor countries (HIPC),1990,354047283.0,0.172872478,190317.02940264525,49731.66204,445828.9898274005,312109.9985,183650.0,3396.507111756169,685.9366715758468,988.284047267356,556720.0,0.6891666666666666,67.6,63.94375,152.15625
Honduras,1990,4955302.0,0.494419916,0.0,2266.206,0.0,7019.999981,1840.0,0.0,0.0,0.0,11330.0,0.6891666666666666,67.6,63.94375,152.15625
"Hong Kong SAR, China",1990,5704500.0,4.218163030120241,0.0,8309.422,18125.981,312126.56362474285,112821.9537815126,0.0,0.0,379.0,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Hungary,1990,10373988.0,6.498947174,20414.189,23179.107,24095.857,11640.00034,9640.0,0.1,683.3,18.6,89100.0,0.6891666666666666,67.6,63.94375,152.15625
IBRD only,1990,3472795732.0,2.573789277,2110898.322,3367418.672,5202159.609,4079030.002,1186190.0,3396.507111756169,685.9366715758468,988.284047267356,14286890.0,0.6891666666666666,67.6,63.94375,152.15625
IDA blend,1990,278496624.0,1.012162263,190317.02940264525,93539.23395,35215.48282,285819.9985,85750.0,3396.507111756169,685.9366715758468,988.284047267356,654140.0,0.6891666666666666,67.6,63.94375,152.15625
IDA only,1990,554867390.0,0.250230588,190317.02940264525,95570.99262,445828.9898274005,488580.0025,232560.0,3396.507111756169,685.9366715758468,988.284047267356,858030.0,0.6891666666666666,67.6,63.94375,152.15625
IDA total,1990,833364014.0,0.505337968,190317.02940264525,189617.5689,61874.81656,774400.001,318310.0,3396.507111756169,685.9366715758468,988.284047267356,1512170.0,0.6891666666666666,67.6,63.94375,152.15625
Iceland,1990,254826.0,7.65228038,0.0,1694.154,242.022,509.9999905,390.0,0.0,1033.4,3.5,3340.0,0.6891666666666666,67.6,63.94375,152.15625
India,1990,873277799.0,0.645361649,21114.586,158297.056,405430.854,509160.0037,145180.0,1702.1,2104.0,5757.5,1219550.0,0.6891666666666666,67.6,63.94375,152.15625
Indonesia,1990,181413398.0,0.818737765,44099.342,82540.503,6952.632,267899.9939,59070.0,0.0,657.9,1062.8,476190.0,0.6891666666666666,67.6,63.94375,152.15625
"Iran, Islamic Rep.",1990,56366212.0,3.521081033,40047.307,139401.005,2695.245,107919.9982,16480.0,0.0,203.5,2387.3,324620.0,0.6891666666666666,67.6,63.94375,152.15625
Iraq,1990,17419113.0,3.686180806,3692.669,33237.688,3.667,51779.99878,4160.0,0.0,0.0,252.9,120280.0,0.6891666666666666,67.6,63.94375,152.15625
Ireland,1990,3513974.0,8.810537585,4290.39,12933.509,13179.198,15470.00027,10030.0,1.2,1.4,33.8,56480.0,0.6891666666666666,67.6,63.94375,152.15625
Isle of Man,1990,70292.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Israel,1990,4660000.0,7.255364807,66.006,24843.925,9959.572,8340.000153,1760.0,4.6,43.8,1001.0,44110.0,0.6891666666666666,67.6,63.94375,152.15625
Italy,1990,56719240.0,7.145018163,89324.453,252725.973,55551.383,48740.00168,26420.0,1972.2,871.0,1230.8,483260.0,0.6891666666666666,67.6,63.94375,152.15625
Jamaica,1990,2419901.0,3.086903142,0.0,7176.319,139.346,1029.999971,500.0,0.0,0.0,0.0,9010.0,0.6891666666666666,67.6,63.94375,152.15625
Japan,1990,123478000.0,8.831775701,101047.852,659249.593,290008.362,37470.00122,27620.0,9154.3,4700.0,14425.8,1181920.0,0.6891666666666666,67.6,63.94375,152.15625
Jordan,1990,3565888.0,2.784720103,231.021,9493.863,0.0,8199.999809,480.0,0.0,0.0,0.0,18630.0,0.6891666666666666,67.6,63.94375,152.15625
Kazakhstan,1990,16348000.0,14.51247859,190317.02940264525,318096.1204687234,445828.9898274005,40689.99863,18780.0,0.0,0.0,0.0,296720.0,0.6891666666666666,67.6,63.94375,152.15625
Kenya,1990,23724574.0,0.258803383,0.0,4668.091,403.37,18440.00053,10380.0,0.0,0.0,0.0,34980.0,0.6891666666666666,67.6,63.94375,152.15625
Kiribati,1990,72394.0,0.276265989,0.0,22.002,0.0,9.999999776,0.0,3396.507111756169,685.9366715758468,988.284047267356,40.0,0.6891666666666666,67.6,63.94375,152.15625
"Korea, Dem. People's Rep.",1990,20293057.0,6.077448065,0.0,8111.404,107864.805,26629.99916,4510.0,0.2,0.0,0.0,154690.0,0.6891666666666666,67.6,63.94375,152.15625
"Korea, Rep.",1990,42869283.0,5.77756339,6241.234,129093.068,94850.622,24350.00038,7730.0,1901.7,782.6,3472.9,280750.0,0.6891666666666666,67.6,63.94375,152.15625
Kosovo,1990,1862000.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Kuwait,1990,2095350.0,13.90221204,13982.271,22137.679,0.0,9520.000458,290.0,0.1,0.0,263.0,39060.0,0.6891666666666666,67.6,63.94375,152.15625
Kyrgyz Republic,1990,4391200.0,5.18309346,190317.02940264525,318096.1204687234,445828.9898274005,7320.000172,2400.0,0.0,0.0,0.0,32480.0,0.6891666666666666,67.6,63.94375,152.15625
Lao PDR,1990,4258471.0,0.119761295,0.0,509.713,3.667,4820.000172,1450.0,3396.507111756169,685.9366715758468,988.284047267356,6790.0,0.6891666666666666,67.6,63.94375,152.15625
Latin America & Caribbean,1990,441855797.0,2.043576715,183820.637,691442.7411,86785.11857,840379.9832,268770.0,3396.507111756169,685.9366715758468,988.284047267356,2014010.0,0.6891666666666666,67.6,63.94375,152.15625
Latvia,1990,2663151.0,7.051796913,190317.02940264525,318096.1204687234,445828.9898274005,4059.999943,2560.0,0.1,0.7,0.0,25420.0,0.6891666666666666,67.6,63.94375,152.15625
Least developed countries: UN classification,1990,506129051.0,0.131057958,190317.02940264525,48447.63251,445828.9898274005,445900.0014,229230.0,3396.507111756169,685.9366715758468,988.284047267356,740300.0,0.6891666666666666,67.6,63.94375,152.15625
Lebanon,1990,2803032.0,2.004971759,0.0,7766.706,0.0,1230.000019,400.0,0.0,0.0,0.0,7270.0,0.6891666666666666,67.6,63.94375,152.15625
Lesotho,1990,1703757.0,0.199558975,0.0,330.03,1140.437,1000.0,600.0,3396.507111756169,685.9366715758468,988.284047267356,1940.0,0.6891666666666666,67.6,63.94375,152.15625
Liberia,1990,2075917.0,0.216771672,0.0,447.374,0.0,219.9999988,180.0,3396.507111756169,685.9366715758468,988.284047267356,850.0,0.6891666666666666,67.6,63.94375,152.15625
Libya,1990,4436663.0,6.446286319,9281.177,18921.72,14.668,57509.99832,1240.0,0.0,0.0,282.4,87430.0,0.6891666666666666,67.6,63.94375,152.15625
Liechtenstein,1990,28790.0,6.946856547,190317.02940264525,318096.1204687234,445828.9898274005,0.0,0.0,3396.507111756169,685.9366715758468,988.284047267356,200.0,0.6891666666666666,67.6,63.94375,152.15625
Lithuania,1990,3697838.0,8.713199442,190317.02940264525,318096.1204687234,445828.9898274005,7119.999886,5730.0,0.1,0.9,0.0,45070.0,0.6891666666666666,67.6,63.94375,152.15625
Luxembourg,1990,381850.0,29.56658374,982.756,4407.734,4294.057,600.0000238,300.0,0.1,0.1,0.0,12190.0,0.6891666666666666,67.6,63.94375,152.15625
"Macao SAR, China",1990,343816.0,4.218163030120241,0.0,1034.094,0.0,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Madagascar,1990,11598647.0,0.076733088,0.0,872.746,33.003,16559.99947,8170.0,3396.507111756169,685.9366715758468,988.284047267356,25630.0,0.6891666666666666,67.6,63.94375,152.15625
